week_ending,store_code,city,division_code,sales,units,n_transactions
2025-07-06,CP08,Longueuil,ME,39831.72,187.0,127
2025-07-06,CP08,Longueuil,MK,20.0,4.0,4
2025-07-06,CP08,Longueuil,PA,5685.95,23.0,24
2025-07-06,CP08,Longueuil,PC,26921.86,1220.0,949
2025-07-06,CP08,Longueuil,PI,9467.34,233.0,203
2025-07-06,CP08,Longueuil,SE,1241.93,24.0,24
2025-07-06,CP08,Longueuil,TO,5512.11,8.0,8
2025-07-06,CP202,Nepean,AP,13353.550000000001,348.0,242
2025-07-06,CP202,Nepean,AS,5239.47,61.0,60
2025-07-06,CP202,Nepean,BQ,9.99,1.0,1
2025-07-06,CP202,Nepean,CH,3749.99,1.0,1
2025-07-06,CP202,Nepean,DI,14.99,35.0,35
2025-07-06,CP202,Nepean,GA,11099.97,3.0,3
2025-07-06,CP202,Nepean,IN,935.0,3.0,3
2025-07-06,CP202,Nepean,LI,919.91,11.0,11
2025-07-06,CP202,Nepean,LO,780.52,48.0,42
2025-07-06,CP202,Nepean,ME,28291.510000000002,80.0,50
2025-07-06,CP202,Nepean,MK,4.95,5.0,4
2025-07-06,CP202,Nepean,PA,6433.4400000000005,21.0,21
2025-07-06,CP202,Nepean,PC,28780.989999999998,1449.0,1210
2025-07-06,CP202,Nepean,PI,4196.88,265.0,201
2025-07-06,CP202,Nepean,SP,14499.0,1.0,1
2025-07-06,CP37,Gatineau,AM,199.99,1.0,1
2025-07-06,CP37,Gatineau,AP,49268.49,1306.0,708
2025-07-06,CP37,Gatineau,AS,5225.61,118.0,102
2025-07-06,CP37,Gatineau,BQ,2812.85,15.0,15
2025-07-06,CP37,Gatineau,CH,14780.0,6.0,6
2025-07-06,CP37,Gatineau,DI,36.97,3.0,3
2025-07-06,CP37,Gatineau,GA,5699.98,2.0,2
2025-07-06,CP37,Gatineau,HT,15995.0,6.0,6
2025-07-06,CP37,Gatineau,IN,10427.95,27.0,29
2025-07-06,CP37,Gatineau,LI,1793.96,16.0,16
2025-07-06,CP37,Gatineau,LO,2388.87,163.0,133
2025-07-06,CP37,Gatineau,ME,36314.05,153.0,96
2025-07-06,CP37,Gatineau,MK,649.42,110.0,100
2025-07-06,CP37,Gatineau,PA,4538.17,33.0,33
